Topic,Count,Name,Representation,Representative_Docs
147,16,147_mysql_ram_memory_table,"['mysql', 'ram', 'memory', 'table', 'gb', 'innodb', 'myisam', 'swap', 'slackware', 'cache']","['basic differente myisam innodb later use transaction atomic change database   myisam usually fast simple table not problem setup   create right index table update fast \n not matter small scale database recommend myisam   simple administer take little memory not advanced feature innodb not matter \n suspect problem dependent table type main indexing memory \n  unique d column table sure index set unique   try index column use clause example search user eg select   userdetail usernameharry secondary index username column \n slow direct mysql db run query commandline mysql tool gui like sqlyog \n try solve mysql problem db fine performance bottleneck lie description query basic quick optimisation \n  memory   run share hosting vps possible run ram try go mb ram', 'run high memory double xl amazon ec instance   gb ram   familiar mysql tuning system run default install linux centos \n current machine memory deal table efficiently   configuration need worry   large system available gb memory   exactly mysql loading memory load table   d like well sense go \n download   mysql tuner run try import tell setting adjust etcmycnf gb ram set index right \n ve get mysql table myd file gb myi file gb   m run script command line analyze datum table   mysql maxe cpu memory maxe vmstat report data swap disk   m terribly familiar utility report \n myisam key cache sized keybuffersize max size gb bit system myisam key cache big bit system', 'run mysql windows server   standard edition hp dl g gb instal   database table grow   gb index file   gb believe cause mysql slow have constantly load unload index file update table   server perform ok mysql mb memory app run system mysql use memory \n sound like run mysql myisam table configuration common mysql server consume significant memory contrary innodb ms sql server reserve considerable amount memory inprocess datum index page database myisam rely os filesystem cache buffer disk datum notable exception key buffer \n start look alternative avert crisis know come soon   option \n see slow insert update worth examine processlist output look state connection perform dml statement indexrelated activity prolong period time consider increase keybuffersize \n stay hardware d want linux option   successful go new platform \n credit mysql run current environment option     good bet windows guy d go x platform overkill ram drive array golden \n bit window pae gb switch able individual process address gb ram \n probably maximum memory value set myconf find file mysql directory edit max memory value sane restart mysql service \n anybody suggestion thing meantime opinion way thing overlook appreciate help \n table fairly active new record getting add day delete   mysql server   connection allow small number     actually write table   increase memory limit mysql max connection high not think connection gb risk problem   tuning let certain connection lot memory \n server enterprise pretty high license cost believe featureset tailor higherend computing limit mysql   gig space believe   enterprise knowledge base read hand']"
148,16,148_lacp_switch_trunk_stp,"['lacp', 'switch', 'trunk', 'stp', 'link', 'etherchannel', 'aggregation', 'bonding', 'rstp', 'nic']","['order solve problem lacp define use heartbeatbased system constantly monitor aggregated port automatically disconnect heartbeat lose \n reason rely lacp design network topology exactly mean l switch hypervisor connection place agregate traffic vms cumulate talk   x   gbe lacp bonding \n disagreement colleague say add layer overhead entire setup potential point failure overall sceptic link aggregation opinion linux bonding driver ad mode reliable good choice \n device sit lagenable switch aggregated gbit port logical issue arise cause real problem forwarding switch information transient problem continue blindly send traffic disconnectedproblematic port \n yes trust lacp prefer lacp link aggregation method reliable flexible ieee standard vendor interop guarantee \n think not need will not big traffic environment simple   gbe high school   pc client   server lan \n think virtual machine   gigabit second traffic s easy want load balance load balancing mode linux work mode   balancexor mode   lacp mode   use balancing mode   constant heartbeat switch \n directly attach interface lag dangerous setup basically network problem track port link   automatically instruct switch stop send traffic disconnected port \n short correctly configure problem lacp thing consider inevitably slight complex configuration trackmanage \n tell true lacp bear exactly solve dangerous problem cause lag link aggregation group \n situation exactly not know weather need lacp additional datum network traffic fine believe   challenge retrieve meaningful number finally easy rely intuition yes want lacp sure traffic reliable not need', 'drawback bit budget low end switch tend lack sufficient lacp group mlag smlt feature   minimum switch hp similar offer bonding group half port   offer k supermicro switch point   lacp group despite have   port \n balancealb specific disadvantage mainly semiintelligently select outgoing port new connection stuck port life connection actually mac port port fail mac get assign port allow connection continue \n m guess number relatively arbitrary   think d need   number switch port   probably hard code number firmware probably take little memory \n know use linux bonding mode wonder good historically activebackup mode server connect nonstacke switch new consistent network like use bonding mode offer load balance addition fault tolerance \n lacp great work provide pretty double performance single nic   get small number machine bonded nic \n here situation like connect linux server single network dual link fault tolerance load balancing reason server   gig nic plan connect different switch reside single stack ie single virtual switch switch juniper ex ex \n think good mode use ad lacp s standard network equipment turn moment configure set port lacp channel switch connection break configure server properly make system administration task hard instal new server remove lacp configuration switch thing like pxe boot network installation work lacp port installation need change switch setting server configure use lacp connection die \n provider want host maybe hundred thousand machine rack not necessarily want spend ten thousand dollar high end switch s important unnecessarily expensive provide redundancy performance single rack machine   company like facebook want create switch \n lacp specify protocol dynamically aggregate port specify port scheduling policy traffic send receive policy set separately not remember process linux know linux support specify couple different policy probably similar balancealb \n balancealb send receive frame load balanced change mac address trick cause issue application level application mature mode \n not exactly aggregate port connection able utilize port ve get   gbe port single connection limit gbe lacp resolve usually depend scheduling policy number active port support end \n bonding mode balancealb require special configuration switch paper provide advantage \n m terribly familiar juniper switch not configure lacp point lacp not case wrong switch configuration', 'lacp configure server switch sort behaviour expect \n understand time network go likely fact setup lacp trunk switch need sure configure switch connect server \n start link plug continuation service add configure aware brief outage link aggregate second \n hps stack see switch fabric plug ethernet cable switch server use lacp trunk setup link aggregation \n tell switch send lacp control packet try establish lag switch server server support lacp need use like']"
149,16,149_domain_password_logon_local,"['domain', 'password', 'logon', 'local', 'account', 'forest', 'user', 'active', 'computer', 'ad']","['log login dialog make distinction eg require prefix account domain local machine want use currently select domain machinename option \n case authentication actually work validate user local lsa go till domain controller lsa \n incidentally special case domain controller machine local administrator   domain administrator account \n system domain group local administrator domain administrator credentialpassword \n log domain authenticate domain controller log local computer authenticate local security authority computer log not matter username password difference context log domain local computer \n go detailed architecture windows interactive logon procedure local domain login \n matter password necessarily good practice   log password check different place \n eg mydomainadministrator domain administrator password local administrator', 'connect domain network local login   default domain logon gpeditmsc change user authenticate locally default log local user change local admin type   bad user password error \n gp look computer configuration administrative template system logon   setting label assign default domain logon   enter computername appear correctly interpolate prior logon display \n manually enter computer default domain gpo work hassle deploy multiple workstation single image default set \n direct registry edit work well   use generic script assign local computer variable computername default domain logon needed   run following \n window vista windows server   log local account default   enter username window set domain local pc username associate local account   match local account window assume domain login \n example stafflaptopuser domainorguser exist window   default stafflaptopuser \n window   try log domain default not remember user log  \n laptop staff away day log local account machine   user password \n windows xp login screen drop menu allow log local machine window box confuse staff', 'use domain user   password alternate administrator   password \n know password work domain administrator password add computer domain successfully ve try multiple domain account unsuccessfully able manually add domain user account manage user local admin able add domainadministrator say account try go network d wizard accept domain admin account password will not log \n real error event log notice time service issue set manual setting auto start not help \n sure provide accurate system mean not conflict computer network   try \n tcpip property   add dns server address global dns server adress manually   try   configure system member domain \n computer run win dcs server   r add particular computer domain accept domain user password simply say user password incorrect try \n open server active directory servicethere domain pc user ad reset password perticulor user use pc password change logon option check mark \n show domain computer ad dns server show forward reverse lookup show dhcp lease think get ip \n computer problem add computer domain recently wipe reinstall window   login issue remain \n not able login nee reserve ip address system function dhcp server']"
150,16,150_thread_mutex_iterator_myevent,"['thread', 'mutex', 'iterator', 'myevent', 'threadsafe', 'task', 'method', 'lock', 'queue', 'false']","['code come note know convention thread safety design pattern usually multithreade programming c language \n m sure implementation satisfy requirement intention task start add start delay thread creation thread pool start not add task stand real use real use well version pretty standard thread pool \n attempt topic m interested point review improvement code learn new method tidy easy understand \n implement method creation multithreade program easy future \n use task launch thread inside thread pool   taskrun run default thread pool \n not time write well implementation thread pool ill point wrong', 'haystacksearch fundamentally different kind thing roll \n experience want kill thread easy clean push task basically tell thread kill case individual task small right let thread finish task start case improve speed bitonce start execute task thread not lock access atomic variable etc execute task \n note chance testing ll find stdlist poor choice queue usually want stddeque stack stddeque stdvector usually work nicely \n anytime lockguarduniquelock explicit unlock start worried unlocking normally handle automatically raii s point lockguarduniquelock place add scope like \n particular handle previous suggestion create thread safe queuestack clean way \n start separate request separate threadsafe queue stacki not check use simple version look like \n thread pool class normally agnostic kind task thread ask execute fact normally possible easy push different kind task thread pool simultaneously thread basically grab task input execute task repeat bit piece like exit right time thread pool manager responsible thing like start thread shut thread', 'prevent system favor main thread let run main thread hit join loop result wrong result mainthread plow completely true vector tell example   prime \n answer mention actually problem value pass sieve prime number example sieveeratosthenesu return vector contain     vector isprime short element consider element       n   consider element       n   declare \n people look seriously prime use large number use bit array safe space threading problem kill thread try clear bit memory word thread try clear bit confident operation lose \n mention comment replace applyprime lambda take isprime reference lambda capture allow drop stdref corresponding include functional modify threadsemplaceback \n thread   write false bit   thread   write false bit   locate byte   start read initial value byte true true true false true true true true store thread write value later overwrite false   lose update \n thread set boolean value false tend set value false multiple time example thread     set multiple   false thread write variable know race condition bad case not effect thread set boolean value false general cause bug \n correctly assume multiple thread relate issue code let tease start usual suspect \n number thread pool slightly large total number core rule thumb    x x range   number thread pool \n create thread relatively expensive allocate stack maintain create destroy thread well maintain thread pool reuse thread \n actually threading totally wrong race condition place kind problem not visible effect wrong \n maybe happen byte size booleans architecture allow bytewise access word wise result problem wide size \n loop sieveeratosthene loop index   end check array element mark prime loop start thread change array element prime nonprime guarantee progress thread make outer loop check        etc prime guarantee actually mark nonprime bad case outer loop start thread   end thread run case prime sieve not change correctness general program not suppose \n bit corner case problem anymore old standard stdvectorbool specialization bit value save space come cost actually access   bit work mean thread work different bit byte consider']"
151,16,151_sprite_spritesheet_frame_animation,"['sprite', 'spritesheet', 'frame', 'animation', 'texture', 'image', 'draw', 'rectangle', 'phaser', 'sheet']","['reuse single image form arbitrary animation feed script function copy sprite \n main reason spritesheet good use poweroftwo texture reduce drawcall thing relevant use d api like opengl new d api flash plan port game platform eg io android similar have spritesheet come handy system benefit spritesheet approach \n case movieclips approach single image go simple s way directly use spritesheet flash create game engine like flixel directly support spritesheet \n possible way sprite specification px square   frame create   x   px image reference frame yoffset \n short stick flash like animate sprite flash timeline single image way spritesheet mean paradigm change animate thing write code parse spritesheet information animation decide s worth filesize save certainly \n save memory spritesheet good packer ignore transparent pixel sprite place sprite close possible benefit file size marginal \n win flash sprite idea certainly multiple set animation single sprite sheet \n sprite sheet concept single image load memory blit copy small portion image implementation application dependent typically load script file sort list tile sprite size offset frame animation list order arbitrary not create loop animation frame create script pixel offset', 'animate spritesheet translation way   design sprite class properly able control flow animation exactly way want \n method sprite stay size collision rectangle position relative sprite \n example use second method sprite get wide use bounding box collision ll collision rectangle cover area sprite player \n well people tell answer clear head yes frame different timing frame   pass ms frame   pass ms problem \n walk   pixel second pass frame animation ms \n s rule gamedevelopment rely framerate animation movement know sprite fast quad core   s rely delta time frame \n reason method will not adjust collision rectangle sprite animate \n define transition create animation   delay transition control aspect transition fade scale etc  \n instead walk   pixel frame pass frame animation frame application lead different gameplay different machine \n consider frame essentially rectangle place location sprite sheet frame remainder image   animate sprite rectangle move position sprite sheet display newly frame image screen   transition program control', 'game know bounding box current image use hitbox collision rectangle game display sprite \n x image folder want create sprite sheet use c sfml game create spritesheet tool like texture packer sprite sort position sprite sheet not know proceed implement game implement \n additional info image duplicate idle frame   idle frame   like able sprite sheet \n information spritesheet look docunentation read sfml game development \n httpswwwbinpresscomtutorialcreatingacitybuildinggamewithsfmlparttexturesandanimation simple example type spritesheet \n keep position relative frame ingame ll need manually image editor \n frame   image load image sftexture spritesheet class texture ref member array vector sfintrect object represent part texture frame want draw frame spritesheet create temporary sfsprite use sfspritesettexturerect correspond intrect input draw temporary sprite \n book example animation class basic update function update current texture link xmlfile jsonfile gou define sprite spritesheet height width duration display \n achieve guess sort data file attach sprite sheet not know create \n game currently work create    frame animation player character currently save seperate jpg file x big want game animation different size image   different image size example frame different animation']"
152,15,152_vcpus_core_guest_vm,"['vcpus', 'core', 'guest', 'vm', 'vms', 'cpu', 'vcpu', 'cpus', 'processor', 'virtual']","['guess ill wrap say cpu issue oversubscribe cpu host instead memory normally culprit ballooningswappe memory os noticeable performance issue \n tackle question number way ill start horizontal vs vertical scaling \n size vms performance nowadays require understanding numa nonuniform memory access basically not want vm big cpus numa node link help guide area \n vmware lot vcpu scheduling esx x room grow vertically depend cpus \n new server vmware esxi instead vmware server look core machine fast processor   core server want sure avoid issue \n good plan unnecessary vmware esxi handle multiple vcpus well vmware server   year ago perform well single large webserver vm     vcpus   vms single vcpu loadbalance configuration \n note understand get benefit load balance single point failure \n originally set machine web server configure vcpus performance issue time run   vms total   vcpus run vmware server   raid upgrade raid consider \n look upgrade server   core server running vmware server   vms run web file email server specifically run webserver   emailfile server jabberxmpp server \n issue multiple vcpus plan replace primary web server vm multiple identical webserver vms     single vcpu serve content nfs share place loadbalance configuration basically replace vm    small webserver vms file server vm load balance vm plan twofold avoid multiple vcpu isuse see secondly spawn new web server vms handle increase load \n good bad big fan horizontal scaling here d recommend', 'supposedly idle machine run occasional background task consume cpu memory disk network etc not need run resourceconstraine shut \n probably help yes especially overcommitte especially overcommitte cpu run multicpu guest \n shut unused vms help   doubt yes list thing help idle vms truly idle \n feel free add actual detail post show datum look \n shut vms help depend issue need find \n ve add core try improve performance ve actually increase queue time cpu resource make performance guest os bad   assume s case step quick check cpu contention queue time follow switch not absolutely need multiple vcpus single vcpu os   depend particular os qusetion well achieve simply remove extra cpus good create new guest os \n improvement benchmark pick need look \n help user perception performance   depend   cpu contention high cpu ready memory overcommit cause impact nonzero ballooning page visible marked improvement \n contrary popular opinion add vcpus vmware guest generally degrade performance instead improve   vcpus assign able run add vcpus vm make likely vm able access physical cpu core give time   essentially cpu request guest os wait line physical core free vm vcpu \n need analyse s go box look cpu contention ready memory usage io latency bandwidth basic easy begin suggest train matter basic vcp course help lot look problem', 'hyperthreade core not real core not count estimate vary ve see figure enable hyperthreading give low   additional performance vsphere \n consideration current state mitigation spectre meltdown attack generally recommend disable hyperthreading reduce possible attack vector decide disable hyperthreade configuration probably usable anymore \n personally try number vcpus   scale vms \n s lot magic vsphere schedule vm resource write hugely simplify guideline serve decade \n not think situation d want single vm vcpus allocate physical core server \n benchmark workload current vm configuration happen gradually lower number vcpus note execution speed workload actual cpu usage hostvm hypervisor perspective guest os \n s concept numa node account start give vm vcpus single processor host provide basically force vsphere split vm   numa node make memory access slow memory go local processor \n  personal good practice vm half logical core single processor usually normally sane number xeon processor avoid problem depend ht core make vms fit single processor make easy scheduler \n usually set vms beneficial start low number vcpus work way performance increase flatten workload not necessarily need stick number vcpus exception principle good test run application deal environment \n  assign vcpus vm consider carefully especially high number reason drastically simplify resource scheduler find time slot s core available execute core simultaneously simplified hyperunrealistic example host   core   vms   vcpus d   vms wait aka halt half time   vms executing alternate state alright vms get cpu time dandy introduce th vm   vcpus suddenly   vms waiting big vm get stuff   execute   vms run    time instead   complex environment allocate relatively huge amount vcpus lower performance especially vm not run actually use vcpus \n hyperthreading enable   logical physical core fine heavily depend vms run host thing mind cpu scheduler esxi server work cpu cycle wait physical core available virtual cpu vm case wait   physical core available cpu cycle process vms host lead high cpu ready time slow vm']"
153,15,153_itune_mp_music_song,"['itune', 'mp', 'music', 'song', 'mu', 'playlist', 'winamp', 'folder', 'tag', 'library']","['well solution not try not know actually work use hard link junction file musicitune folder central version folder \n current user use share library database log window user itune open share folder use shiftopen trick switch itune share folder \n itune library artistalbum folder mp file locate citunesitune music musicitunesitune music set itune preference username path mp file \n share common itune mediamusic folder consolidatingorganize library allow purchase account   account authorise itune account file add window account itune instance authorisation hassle \n search replace itune music libraryxml file musicitune itune recognise \n file musicitune database file synchronise computer microsoft synctoy update mp file folder \n work form basis solution copy database file forth folder log window keep music file folder think copy command schedule task well way group policy', 'simple itune   itune   playlist folder drag particular folder particular location playlist pane create entire playlist base file particular folder cheer \n itune able create smartplaylist filter album artist   not appear way use folder filter list \n having d like able point itune directory turn playlist end doctor music star war music playlist base mp location hard drive \n os x write applescript want eg diskhierarcytoitune find httpvladalexacomscriptsapplescriptitune \n import mp itune simple   bare bone version drag mp folder itune window rest \n enqueue mp question winamp generally easy way rightclick folder choose enqueue winamp   save result playlist mu \n catch   save mu folder music file   winamp relative path mu file name cause itune think new file ve import   mu not path file name itune recognize file import act accordingly', 'culprit likely mu file delete mu file select mu file preserve track order mp file add library add mp file mu file make itune create   copy song \n itune fan   year deal poor programming application hope help find faith \n music organize medium monkey httpwwwmediamonkeycom import itune make copy file not care organize \n secret check itune medium folder organize not like software mess collection set folder machine like default music window vista structure m \n s good solution find medium monkey music organize folder genreartistsong song whenif change genre edit tag etc medium monkey import folder itune   smart import twice song move extra copy music itune folder not mind view temp folder \n not like itune memory hog simple everytime try use application sync ipod wrong not time configure setup describe good world podcast ease use itune folder structure \n use party plugin call itune library updater search folder add file library way mess search d tag keep folder structure intact \n set itune itune medium folder organize copy file itune medium folder add library prefer music consolidate organize consistent mp external itune try add file   add folder libary itune create   copy file itune folder   original song original song follow number \n uncheck itune medium folder organize unceck copy file itune medium folder add library way itune make copy file end folder']"
154,15,154_cron_crontab_job_script,"['cron', 'crontab', 'job', 'script', 'output', 'monit', 'email', 'cronjob', 'pid', 'mailto']","['production server typically run   cronjob daily swear pythoncronwrap package check httppypipythonorgpypicronwrap easy configure reliable \n ssmtp instal work send mail googleaccount fact ssmtp send mail account not problem home server user ability add cronjob \n create cronjob ubuntu place executable etccrondailyhourlymonthlyweekly lot directory start cron \n add mailtofoobarcom crontab cause output cron job email regardless error code \n script output error correctly stderr easy email wrong \n ve find script output error incorrectly stdout set exit code   figure way grab output ignore output exit code   method think redirect output file exit code   output file cron grab pretty horrible \n redirect stdout null stderr message present email \n like know mailing script usually work linuxunix general ubuntu specifically like know good way mail situation \n want send output stdout stderr specific address use mailto variable example place following script \n order email send vixie cron need replicate sendmail command instal postfix ssmtp sort postfix alias file map system user real email address', 'system log   depend system configure find cron output varlogcron   example cron job run   differentiate cron run job cron run job job behave correctly \n time find good method need   create crondeny file etc potentially replicate performance \n typical system add crontab group b edit cronallow   default behavior absent explicit configuration contrary allow run cron job   say configuration change ve unnecessary prevent thing work \n want maintain performance allow specific user helpful produce error log \n rhel default behavior allow nonroot crontab change find undesirable   restore previous behavior method', 'cron usually automatically email output script user crontab run   override behavior vixie cron set mailto environment variable crontab file eg mailtouserhostcom mailto disable email \n send email server mail command not need jump hoop \n need daily notification crontab complete successfully ve read thing set cron send email notification m wonder know linux box set mail server system question run ubuntu   sme server   os x server \n s simple checklist configure sendmail configure server send notification \n system not send email need proceed vendor instruction set working order reduce scenario \n complete detailed answer great m look shove right direction \n cron daemon vary slightly   man page cron   crontab detail']"
155,15,155_wds_image_mdt_pxe,"['wds', 'image', 'mdt', 'pxe', 'deployment', 'sccm', 'deploy', 'boot', 'winpe', 'sysprep']","['windows server   r dc run active directory add role window deployment service instal window automate installation kit aik window   microsoft deployment toolkit mdt   update \n pxe boot nix client nfs root option option rootpath nfsserverexamplecompathtorootfs \n possible pxe boot client depend mac address dhcpdconf start linbo wds \n hand linux debian   server linbo installation run dhcp server tftp server image run server network work dns server \n wds server option   nextserver ip wds server option   filename bootxwdsnbpcom ll figure setting pxe server pretty similar setup run understand question', 'course thing like ghost exist wds stranglehold pxe deployment window nowadays \n use answer file use window automate installation kit freely available kit install window system image manager gui sample want include run command bootup customize want \n ve winpe waik toolkit boot image ve distribure tftpd   pxelinux pxe client winpe image unattended file wsim need install image resource sit smb share samba server matter \n wds canonical answer free window server pair microsoft deployment toolkit complex install straightforward deployment \n microsoft deployment toolkit way handle thing good choice mdt indepth powerful \n unfortunately window imaging complicated want couple advanced requirement completely doable need invest real time learn work \n sound like head right direction linuxbased deployment tricky thing need know insandout boot process recommend wds come nice pretty bow take headache away', 'mdt create boot image use wds allow pxe network boot multicaste ease deployment good mdt free \n video article walkthrough help deploy window deploy window   page springboard series technet \n mdt manage device driver similar wds pnp hardware call install proper driver deployment new model pc download driver import mdt use wsus window update apply late patch deployment \n microsoft deployment toolkit mdt wds good way   decide type image good fit need thick thin hybrid image technet magazine article desktop image management build well desktop image certain situation have thin image add software deployment make easy image update late version software employee use mdt add application mdt select one group install machine deploy']"
156,14,156_lvm_volume_partition_logical,"['lvm', 'volume', 'partition', 'logical', 'disk', 'filesystem', 'devvda', 'resize', 'vg', 'mount']","['fairly recent version logical volume thickly provision   recent version believe thick volume default   thick mean create volume   gib exactly storage physical volume logical volume completely \n verify backup boot livecdliveusb support lvm   resize   filesystem resize logical volume   online guide shrink filesystemlogical volume repeat \n unfortunately shrink pretty filesystem operation perform offline   safely resize thing bit tricky   start make verifying good backup \n devmappercentosroot devcentoshome extremely overprovisione base current usage   simple answer shrink filesystem logical volume   hopefully filesystem volume able shrink filesystem \n volume group logical volume need create volume group not need free physical extent \n future strongly suggest create logical volume use use small size actually need   increase size volume filesystem trivial filesystem online   lvfilesystem small add space need', 'question easy creation resizing deletion volume aka partition nice feature depend situation ability create snapshot volume \n use lvm lot thing disk main benefit ability grow filesystem fly suppose set log server know future ll ton datum ext support maximum tb depend kernel version el know   year ll need pb storage create problem boss look deer headlight eye tell price storage hardware lead problem   need start small solution scale upwards lvm give option start disk add turn logical group add logical volume increase size volume finally grow filesystem voila ve get nice scaling filesystem \n edit note deal pb go want use ext probably xfs \n provide info situation go apply way target answer broad possibly unrelated answer not comment ve say comment \n lvm task provide hardware support online reboot machine hot swap disk system add new disk subsequently remove old maybe small disk increase system storage requirement \n number indirect benefit lvm main thing lvm abstract physical disk away operating system main benefit simply flexibility benefit lvm realise filesystem support resize fly basic thing lvm describe \n naive advocate use single large partition undone need introduce quota isolate rogue process fill part system eg varlog tmp etc \n main issue lvm volume approach capacity fragmentation issue experience volume     mean end bad fragmentation disk depend disk usage file type rarely overly concern s case kind volume   partition management fragmentation volume layer oppose partition s concern \n save have datum device reformat lun move perform upgrade sorry brevity hope make sense \n add storage generally trivial hardware software raid add disk fiddle symlink rebuild raid array order linux new storage available location want \n example large home directory get exist exist disk raid   volume want add disk set hardware raid   configuration lvm couple option \n lvm simply add new raid   volume group additional pool storage resize filesystem provide support voila home suddenly large not need symlink maintenance potentially move datum home home vice versa rinse wash repeat future disk upgrade \n lvm linux use partition locate physically disk partition direct device name partition table reside mbr normally case logical extended partition extended boot record allow create large number partition partition define size type attribute specifically define start end cylinder essentially define size closely tie disk set correct partition scheme install important suddenly machine function change novice ve understand implication partition underestimate disk usage log particular application change partitioning cumbersome tool generally need datum partition change obviously ve get partition change second partition end cylinder effect fourth partition start cylinder messy situation', 'generally manage lvm create large volume group partition make sense \n create small logical volume use pvmove command disk disk \n create logical volume build logical extent pair physical extent logical extent uniq d logical volume \n general strategy separate volume group physical volume possibly migrate set system \n scenario suggest question availability datum raid drive fail result data loss \n lvm tell operating system single mb disk   lvm kernel come part userspace management tool kernel driver map operate system see physical locationsblock disk \n underlying thing let lvm software raid linux work device mapper portion kernel   abstract block address physical device virtual block device \n external storage good idea separate volume group physically easy disconnect computer connect similarly logically easy exportimport lvm keep datum intact \n lvm logical volume manager collect physical volume volume group physical volume drive small piece call physical extent extent uniq identifier disk actually sequentally number \n tend create large volume group create logical volume need   need fully allocate space volume group allocate need   easy increase size logical volume pretty modern filesystem easily grow \n vg internal disk buy internal disk machine ask question datum new disk bind vg sense move datum system case vg create vg easily exportedimporte \n practice use lvm run sort raid   lvm tb file server   hardware raid volume vg   free extent use pvmove migrate datum pvs start problem \n hpux check logical extent pair physical extent sle figure check lvdisplay map good perferct \n lvm come datum need aware data availability repercussion   s lvm dangerous fact proper practice impact availability minimal']"
